Name_CN,Name_EN,year_range,Area_Year_Book,Area_pixel,Area_pixel_km2
蚌埠市,Bengbu,2002_2004,67.0,768606.494117647,691.7458447058823
蚌埠市,Bengbu,2005_2007,83.0,813074.5176470588,731.7670658823529
蚌埠市,Bengbu,2008_2010,103.0,993666.3843137255,894.2997458823529
蚌埠市,Bengbu,2011_2013,115.0,1104894.0470588233,994.404642352941
蚌埠市,Bengbu,2014_2016,138.0,1337931.3019607842,1204.1381717647055
蚌埠市,Bengbu,2017_2019,149.0,1487802.9333333327,1339.0226399999992
淮南市,Huainan,1993_1995,54.0,291485.031372549,262.3365282352941
淮南市,Huainan,1996_1998,75.0,322692.12549019605,290.4229129411764
淮南市,Huainan,1999_2001,78.0,352387.31372549024,317.1485823529412
淮南市,Huainan,2002_2004,89.0,379699.7647058824,341.72978823529417
淮南市,Huainan,2005_2007,94.0,418879.3529411765,376.9914176470588
淮南市,Huainan,2008_2010,97.0,474094.37647058826,426.6849388235294
淮南市,Huainan,2011_2013,102.0,522888.0313725492,470.5992282352943
淮南市,Huainan,2014_2016,108.0,609075.4156862748,548.1678741176473
淮南市,Huainan,2017_2019,104.0,660578.7098039219,594.5208388235297
马鞍山市,Maanshan,1993_1995,34.0,288704.25098039216,259.8338258823529
马鞍山市,Maanshan,1996_1998,36.0,343516.91764705884,309.16522588235296
马鞍山市,Maanshan,1999_2001,38.0,381809.8901960784,343.62890117647055
马鞍山市,Maanshan,2002_2004,60.0,419070.7568627451,377.1636811764707
马鞍山市,Maanshan,2005_2007,68.0,475231.6078431373,427.7084470588236
马鞍山市,Maanshan,2008_2010,76.0,622828.031372549,560.5452282352941
马鞍山市,Maanshan,2011_2013,86.0,754980.7490196079,679.4826741176472
马鞍山市,Maanshan,2014_2016,93.0,1019929.3921568629,917.9364529411765
马鞍山市,Maanshan,2017_2019,100.0,1145387.611764706,1030.8488505882353
淮北市,Huaibei,1993_1995,30.0,332129.98039215687,298.9169823529412
淮北市,Huaibei,1996_1998,37.0,383496.11764705885,345.1465058823529
淮北市,Huaibei,1999_2001,38.0,408784.2470588235,367.9058223529411
淮北市,Huaibei,2002_2004,42.0,440698.74509803916,396.6288705882352
淮北市,Huaibei,2005_2007,58.0,464823.7803921568,418.3414023529411
淮北市,Huaibei,2008_2010,63.0,539559.4078431372,485.60346705882347
淮北市,Huaibei,2011_2013,80.0,618677.9647058825,556.8101682352942
淮北市,Huaibei,2014_2016,85.0,701028.3176470589,630.925485882353
淮北市,Huaibei,2017_2019,89.0,772512.0862745097,695.2608776470587
铜陵市,Tongling,1993_1995,26.0,83363.95294117647,75.02755764705881
铜陵市,Tongling,1996_1998,31.0,95656.81176470587,86.09113058823527
铜陵市,Tongling,1999_2001,33.0,112624.45490196078,101.3620094117647
铜陵市,Tongling,2002_2004,33.0,123972.2156862745,111.57499411764705
铜陵市,Tongling,2005_2007,36.0,145394.90980392156,130.85541882352942
铜陵市,Tongling,2008_2010,47.0,191305.91372549022,172.17532235294118
铜陵市,Tongling,2011_2013,52.0,218173.19215686273,196.35587294117644
铜陵市,Tongling,2014_2016,76.0,269925.99215686275,242.9333929411765
铜陵市,Tongling,2017_2019,81.0,289167.83921568625,260.2510552941176
安庆市,Anqing,1993_1995,23.0,532298.7607843138,479.06888470588234
安庆市,Anqing,1996_1998,27.0,593133.1254901962,533.8198129411766
安庆市,Anqing,1999_2001,30.0,681261.3490196078,613.135214117647
安庆市,Anqing,2002_2004,35.0,841103.6392156862,756.9932752941178
安庆市,Anqing,2005_2007,55.0,919036.8392156862,827.1331552941175
安庆市,Anqing,2008_2010,72.0,1110988.2470588237,999.8894223529412
安庆市,Anqing,2011_2013,81.0,1263873.1372549017,1137.4858235294116
安庆市,Anqing,2014_2016,85.0,1502235.3333333333,1352.0118
安庆市,Anqing,2017_2019,102.0,1869072.3686274504,1682.1651317647056
黄山市,Huangshan,1996_1998,18.0,82213.47450980393,73.99212705882351
黄山市,Huangshan,1999_2001,18.0,89500.76470588235,80.5506882352941
黄山市,Huangshan,2002_2004,19.0,98598.02352941176,88.73822117647057
黄山市,Huangshan,2005_2007,31.0,139951.70588235295,125.95653529411766
黄山市,Huangshan,2008_2010,42.0,185967.26666666666,167.37054
黄山市,Huangshan,2011_2013,54.0,245308.78039215686,220.77790235294117
黄山市,Huangshan,2014_2016,65.0,309365.51372549025,278.4289623529412
黄山市,Huangshan,2017_2019,70.0,355026.5411764706,319.52388705882356
滁州市,Chuzhou,1993_1995,15.0,832268.7176470589,749.041845882353
滁州市,Chuzhou,1996_1998,19.0,895410.6078431371,805.8695470588235
滁州市,Chuzhou,1999_2001,21.0,981136.294117647,883.0226647058823
滁州市,Chuzhou,2002_2004,27.0,1037511.6784313725,933.7605105882352
滁州市,Chuzhou,2005_2007,39.0,1102683.6274509807,992.4152647058827
滁州市,Chuzhou,2008_2010,50.0,1577099.125490196,1419.3892129411765
滁州市,Chuzhou,2011_2013,77.0,1848355.9843137253,1663.5203858823525
滁州市,Chuzhou,2014_2016,84.0,2262292.4941176465,2036.063244705882
滁州市,Chuzhou,2017_2019,90.0,2630159.88627451,2367.143897647059
阜阳市,Fuyang,1993_1995,32.0,1301461.3647058823,1171.3152282352942
阜阳市,Fuyang,1996_1998,41.0,1564771.0156862743,1408.2939141176469
阜阳市,Fuyang,1999_2001,41.0,1703137.9450980392,1532.8241505882354
阜阳市,Fuyang,2002_2004,48.0,1863581.435294118,1677.2232917647061
阜阳市,Fuyang,2005_2007,61.0,2005134.8627450976,1804.6213764705876
阜阳市,Fuyang,2008_2010,71.0,2155398.364705883,1939.8585282352947
阜阳市,Fuyang,2011_2013,90.0,2364061.549019608,2127.6553941176476
阜阳市,Fuyang,2014_2016,122.0,2663013.662745098,2396.7122964705886
阜阳市,Fuyang,2017_2019,140.0,3309389.3960784324,2978.450456470589
宿州市,Suzhou,1993_1995,22.0,1003617.8078431371,903.2560270588234
宿州市,Suzhou,1999_2001,61.0,1261216.5019607844,1135.094851764706
宿州市,Suzhou,2002_2004,67.0,1361422.0745098041,1225.2798670588238
宿州市,Suzhou,2005_2007,37.0,1466143.019607843,1319.5287176470586
宿州市,Suzhou,2008_2010,50.0,1664076.2588235294,1497.6686329411764
宿州市,Suzhou,2011_2013,67.0,1855911.168627451,1670.3200517647058
宿州市,Suzhou,2014_2016,75.0,2180631.898039216,1962.5687082352945
宿州市,Suzhou,2017_2019,87.0,2498588.3254901962,2248.7294929411764
六安市,liuan,1993_1995,20.0,811294.7058823529,730.1652352941176
六安市,liuan,1999_2001,54.0,1153475.768627451,1038.1281917647061
六安市,liuan,2002_2004,46.0,1269141.556862745,1142.2274011764705
六安市,liuan,2005_2007,42.0,1369120.88627451,1232.208797647059
六安市,liuan,2008_2010,56.0,1627553.8313725488,1464.798448235294
六安市,liuan,2011_2013,68.0,1817156.6745098038,1635.4410070588233
六安市,liuan,2014_2016,74.0,2112890.392156863,1901.6013529411769
六安市,liuan,2017_2019,79.0,2495640.050980392,2246.0760458823524
池州市,Chizhou,1999_2001,16.0,198415.9333333333,178.57433999999998
池州市,Chizhou,2002_2004,13.0,233290.12156862745,209.96110941176468
池州市,Chizhou,2005_2007,19.0,276145.2,248.53068
池州市,Chizhou,2008_2010,33.0,365328.74117647053,328.79586705882355
池州市,Chizhou,2011_2013,37.0,431973.73333333334,388.77636
池州市,Chizhou,2014_2016,37.0,554347.9254901961,498.91313294117646
池州市,Chizhou,2017_2019,39.0,659763.356862745,593.7870211764706
宣城市,Xuancheng,1999_2001,18.0,305496.8509803922,274.94716588235303
宣城市,Xuancheng,2002_2004,19.0,337373.16862745094,303.6358517647058
宣城市,Xuancheng,2005_2007,24.0,425203.69411764713,382.6833247058824
宣城市,Xuancheng,2008_2010,39.0,550395.1019607843,495.3555917647059
宣城市,Xuancheng,2011_2013,48.0,742609.8078431373,668.3488270588235
宣城市,Xuancheng,2014_2016,52.0,1073694.3019607842,966.3248717647058
宣城市,Xuancheng,2017_2019,61.0,1195410.7058823528,1075.8696352941174
济南市,Jinan,1993_1995,113.0,1053943.9607843137,948.5495647058823
济南市,Jinan,1996_1998,115.0,1208867.4313725492,1087.9806882352943
济南市,Jinan,1999_2001,120.0,1246837.545098039,1122.1537905882353
济南市,Jinan,2002_2004,200.0,1397189.4784313724,1257.4705305882353
济南市,Jinan,2005_2007,305.0,1537979.71372549,1384.181742352941
济南市,Jinan,2008_2010,336.0,1762643.3058823529,1586.3789752941173
济南市,Jinan,2011_2013,363.0,1889822.0823529416,1700.8398741176477
济南市,Jinan,2014_2016,393.0,2299274.7215686273,2069.347249411764
济南市,Jinan,2017_2019,524.0,2459472.2784313723,2213.525050588235
青岛市,Qingdao,1993_1995,104.0,954226.3803921569,858.8037423529413
青岛市,Qingdao,1996_1998,112.0,1143860.3882352943,1029.474349411765
青岛市,Qingdao,1999_2001,119.0,1243636.0627450983,1119.2724564705884
青岛市,Qingdao,2002_2004,146.0,1455022.1176470588,1309.5199058823528
青岛市,Qingdao,2005_2007,227.0,1643299.51372549,1478.9695623529412
青岛市,Qingdao,2008_2010,273.0,1900335.5411764712,1710.3019870588241
青岛市,Qingdao,2011_2013,375.0,2123821.3568627452,1911.439221176471
青岛市,Qingdao,2014_2016,566.0,2320554.3294117656,2088.498896470589
青岛市,Qingdao,2017_2019,715.0,2849341.8274509814,2564.4076447058833
淄博市,Zibo,1993_1995,107.0,694420.8078431372,624.9787270588234
淄博市,Zibo,1996_1998,128.0,744645.8666666666,670.1812799999999
淄博市,Zibo,1999_2001,147.0,789691.6666666665,710.7224999999999
淄博市,Zibo,2002_2004,164.0,986331.1529411763,887.6980376470588
淄博市,Zibo,2005_2007,196.0,1090871.9843137253,981.7847858823528
淄博市,Zibo,2008_2010,219.0,1189701.5803921567,1070.7314223529413
淄博市,Zibo,2011_2013,238.0,1297058.545098039,1167.3526905882352
淄博市,Zibo,2014_2016,267.0,1563293.5725490197,1406.9642152941176
淄博市,Zibo,2017_2019,284.0,1795401.94117647,1615.8617470588229
东营市,Dongying,1993_1995,41.0,578899.6156862745,521.009654117647
东营市,Dongying,1996_1998,62.0,620353.6235294119,558.3182611764706
东营市,Dongying,1999_2001,58.0,699449.5921568627,629.5046329411764
东营市,Dongying,2002_2004,85.0,785502.0352941178,706.9518317647061
东营市,Dongying,2005_2007,90.0,899050.9450980393,809.1458505882356
东营市,Dongying,2008_2010,103.0,1037983.1725490197,934.1848552941177
东营市,Dongying,2011_2013,111.0,1187533.5215686276,1068.780169411765
东营市,Dongying,2014_2016,119.0,1473057.043137255,1325.7513388235293
东营市,Dongying,2017_2019,153.0,1911556.8196078432,1720.4011376470592
烟台市,Yantai,1993_1995,68.0,684314.4078431372,615.8829670588234
烟台市,Yantai,1996_1998,111.0,784862.8666666667,706.37658
烟台市,Yantai,1999_2001,118.0,814471.9960784311,733.024796470588
烟台市,Yantai,2002_2004,145.0,934417.349019608,840.9756141176472
