Sensor,Span,Harmonic,Index,Mean_Err
Landsat_8,3,3,NDVI,45.95666666666665
Landsat_8,3,4,EVI,36.38666666666667
Landsat_8,3,4,NDBI,40.42333333333333
Landsat_8,3,4,NDVI,45.03999999999999
Landsat_8,3,5,EVI,35.49
Landsat_8,3,5,NDBI,39.68333333333334
Landsat_8,3,5,NDVI,44.02333333333333
Landsat_8,3,6,EVI,34.85000000000001
Landsat_8,3,6,NDBI,38.92
Landsat_8,3,6,NDVI,43.32333333333333
Landsat_8,3,7,EVI,34.316666666666684
Landsat_8,3,7,NDBI,38.31333333333333
Landsat_8,3,7,NDVI,42.60333333333333
Landsat_8,3,8,EVI,33.66666666666667
Landsat_8,3,8,NDBI,37.583333333333336
Landsat_8,3,8,NDVI,41.63666666666667
Landsat_8,3,9,EVI,33.01333333333333
Landsat_8,3,9,NDBI,36.86333333333332
Landsat_8,3,9,NDVI,40.846666666666664
Landsat_8,3,10,EVI,32.28666666666666
Landsat_8,3,10,NDBI,36.13333333333333
Landsat_8,3,10,NDVI,39.85
Landsat_8,4,1,EVI,37.2875
Landsat_8,4,1,NDBI,36.4275
Landsat_8,4,1,NDVI,39.25
Landsat_8,4,2,EVI,33.6175
Landsat_8,4,2,NDBI,34.58
Landsat_8,4,2,NDVI,37.2075
Landsat_8,4,3,EVI,29.07
Landsat_8,4,3,NDBI,32.2375
Landsat_8,4,3,NDVI,35.24
Landsat_8,4,4,EVI,28.155
Landsat_8,4,4,NDBI,31.4775
Landsat_8,4,4,NDVI,34.6125
Landsat_8,4,5,EVI,27.6825
Landsat_8,4,5,NDBI,30.975
Landsat_8,4,5,NDVI,34.0175
Landsat_8,4,6,EVI,27.22
Landsat_8,4,6,NDBI,30.5675
Landsat_8,4,6,NDVI,33.6425
Landsat_8,4,7,EVI,26.945
Landsat_8,4,7,NDBI,30.205
Landsat_8,4,7,NDVI,33.2425
Landsat_8,4,8,EVI,26.53
Landsat_8,4,8,NDBI,29.7775
Landsat_8,4,8,NDVI,32.6875
Landsat_8,4,9,EVI,26.205
Landsat_8,4,9,NDBI,29.3875
Landsat_8,4,9,NDVI,32.2625
Landsat_8,4,10,EVI,25.84
Landsat_8,4,10,NDBI,28.915
Landsat_8,4,10,NDVI,31.7775
Landsat_8,5,1,EVI,29.968000000000007
Landsat_8,5,1,NDBI,29.40200000000001
Landsat_8,5,1,NDVI,31.61000000000001
Landsat_8,5,2,EVI,27.053999999999995
Landsat_8,5,2,NDBI,28.076000000000008
Landsat_8,5,2,NDVI,30.038
Landsat_8,5,3,EVI,23.508000000000003
Landsat_8,5,3,NDBI,26.317999999999994
Landsat_8,5,3,NDVI,28.451999999999998
Landsat_8,5,4,EVI,22.838000000000008
Landsat_8,5,4,NDBI,25.712000000000007
Landsat_8,5,4,NDVI,28.02599999999999
Landsat_8,5,5,EVI,22.502
Landsat_8,5,5,NDBI,25.379999999999992
Landsat_8,5,5,NDVI,27.61799999999999
Landsat_8,5,6,EVI,22.2
Landsat_8,5,6,NDBI,25.086000000000002
Landsat_8,5,6,NDVI,27.32799999999999
Landsat_8,5,7,EVI,22.004
Landsat_8,5,7,NDBI,24.864000000000004
Landsat_8,5,7,NDVI,27.116000000000003
Landsat_8,5,8,EVI,21.753999999999998
Landsat_8,5,8,NDBI,24.631999999999998
Landsat_8,5,8,NDVI,26.778000000000006
Landsat_8,5,9,EVI,21.505999999999993
Landsat_8,5,9,NDBI,24.386
Landsat_8,5,9,NDVI,26.476000000000003
Landsat_8,5,10,EVI,21.273999999999997
Landsat_8,5,10,NDBI,24.05599999999999
Landsat_8,5,10,NDVI,26.172000000000004
