system:index,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Landsat_B1,Landsat_B10,Landsat_B11,Landsat_B2,Landsat_B3,Landsat_B4,Landsat_B5,Landsat_B6,Landsat_B7,Landsat_B8,Landsat_B9,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,Sentinel_B1,Sentinel_B10,Sentinel_B11,Sentinel_B12,Sentinel_B2,Sentinel_B3,Sentinel_B4,Sentinel_B5,Sentinel_B6,Sentinel_B7,Sentinel_B8,Sentinel_B8A,Sentinel_B9,lrad,prec,pres,shum,split,srad,temp,wind,.geo
00000000000000000e1a,0,1467,-342,-60,32,3,-33,28,-3,1,33,202,199,30,29,33,63,75,59,30,1,20,-5,10,3232,-134,-171,-67,-34,-90,-41,-11,-102,-81,-18,-4,-52,20,5,1,3.7287486,1226.0,19.0,2451.0,1707.0,1034.0,1018.0,1087.0,1346.0,1904.0,2197.0,2106.0,2417.0,1043.0,262.41666,0.045001116,85330.664,0.0042480007,0.34050712200180333,176.75,277.27332,3.750664,"{""type"":""Point"",""coordinates"":[114.88136328889064,41.846536395387076]}"
000000000000000006ce,1,655,-344,-121,-1,30,-49,-13,24,2,33,189,188,28,22,20,42,32,22,22,0,34,-14,13,-551,26,-34,53,-5,-14,2,1,125,-11,-29,13,-92,-44,71,0,20.904114,1273.0,11.0,1293.0,874.0,1009.0,821.5,938.5,915.0,1399.0,1563.0,1426.5,1668.0,714.0,331.75,0.2000011,93174.0,0.008338667,0.4865285659050528,142.91667,285.50998,2.2519972,"{""type"":""Point"",""coordinates"":[116.41029539899512,30.931646936985427]}"
00000000000000001879,0,6,-731,9,-13,-58,-174,-138,-13,3,37,197,195,30,28,19,92,51,29,24,0,42,-14,14,210,70,-53,63,72,74,-34,-1,-1065,65,-32,-32,-111,-74,-29,4,1.1032752,1774.0,26.0,1980.0,1506.0,1445.0,1275.0,1144.0,1461.0,2400.0,2735.0,2422.0,2919.0,1212.0,348.83334,0.2000011,101436.664,0.009779001,0.469179350609228,154.58333,288.95334,2.5066638,"{""type"":""Point"",""coordinates"":[120.63552106128881,32.79996122826766]}"
00000000000000001718,0,9,2344,-77,-115,46,-43,8,-16,-7,46,203,200,41,38,36,63,52,37,37,0,30,-11,12,-1433,55,74,-28,26,-30,9,4,1580,-30,-91,50,-23,1,-6,-4,2.3744612,1809.0,23.0,1799.0,1481.5,1777.5,1551.5,1575.0,1584.0,1828.5,1967.0,1999.0,2038.5,868.5,355.08334,0.2000011,101385.336,0.009869333,0.7237356531415112,151.08333,289.86667,1.9439973,"{""type"":""Point"",""coordinates"":[119.85165122800252,31.997853671672765]}"
000000000000000000eb,1,6,225,-78,-37,17,-62,18,-22,0,45,207,203,40,33,29,61,41,29,42,0,28,-11,8,-709,33,0,-18,-10,-1,5,1,-1657,-31,-31,7,-66,23,-13,6,0.92740995,1866.0,16.5,1471.5,1026.5,1409.0,1240.5,1080.0,1188.5,1631.5,1687.0,1474.0,1786.0,720.0,359.33334,0.2000011,101418.664,0.010024001,0.8242642374012082,147.75,290.34332,1.9006639,"{""type"":""Point"",""coordinates"":[119.80979364641382,31.438294457779005]}"
0000000000000000169d,0,5,1054,-104,-27,25,-68,48,-27,-2,47,207,203,42,37,33,71,53,36,34,0,28,-9,9,-170,37,12,-20,-26,-11,8,0,-1443,-54,-12,1,-53,37,-13,5,2.3621173,1833.5,16.5,1899.0,1386.0,1651.5,1406.0,1409.0,1459.0,1823.5,1977.0,2003.0,2222.5,718.0,359.33334,0.2000011,101418.664,0.010024001,0.6485994416920781,147.75,290.34332,1.9006639,"{""type"":""Point"",""coordinates"":[119.8687206668351,31.42634852605682]}"
00000000000000001def,1,58,-102,-176,-8,54,-6,44,-50,1,38,203,200,34,30,28,68,51,40,36,0,36,-12,14,311,30,17,-1,8,44,53,-1,-67,-140,-35,97,-31,47,-22,1,1.8543341,1691.0,17.0,2236.0,1811.0,1711.0,1530.0,1638.0,1578.0,2073.0,2398.0,2288.0,2494.0,765.0,346.5,0.07583445,100790.664,0.008602001,0.2853751986910117,149.25,288.97998,2.0253305,"{""type"":""Point"",""coordinates"":[114.8080601266731,34.32431384159025]}"
000000000000000008a2,1,130,2186,-132,-6,31,-34,36,-47,-6,43,203,200,38,34,38,66,56,43,33,1,27,-10,10,-1732,38,15,-2,2,21,39,5,1182,-94,0,8,-31,13,-28,-3,1.4574112,1730.0,22.0,2607.0,2110.0,1439.0,1209.0,1406.0,1809.0,2109.0,2361.0,1954.0,2386.0,582.0,346.75,0.07583445,99874.664,0.008196333,0.295083494314339,146.75,289.16,2.1159973,"{""type"":""Point"",""coordinates"":[113.66693157608572,34.43893949327013]}"
0000000000000000098c,1,143,1240,-141,-9,23,-55,40,-37,-3,45,201,199,39,32,32,64,55,40,36,0,30,-11,11,-970,55,5,1,14,-9,54,2,901,-90,-14,8,-48,10,-13,-2,2.4321506,1701.0,23.0,2280.0,1770.0,1583.0,1353.0,1516.0,1406.0,1976.0,2410.0,2082.0,2596.0,631.0,346.75,0.07583445,99874.664,0.008196333,0.41608597977206396,146.75,289.16,2.1159973,"{""type"":""Point"",""coordinates"":[113.68552602747859,34.466336210142494]}"
00000000000000001337,0,144,3320,-44,14,76,2,91,-140,-10,38,202,198,31,26,20,75,45,25,25,0,45,-14,15,-2532,-1,7,-71,-72,-14,115,8,1975,-19,10,55,-3,26,-82,-5,2.168316,1587.0,23.0,2346.0,1776.0,1358.0,1269.0,1337.0,1501.0,2214.0,2594.0,2323.0,2721.0,585.0,346.75,0.07583445,99874.664,0.008196333,0.9691614705460192,146.75,289.16,2.1159973,"{""type"":""Point"",""coordinates"":[113.67340173171429,34.452232073510444]}"
00000000000000000a0c,1,35,1887,-162,-34,47,-61,71,-65,-5,39,202,201,35,35,38,74,64,50,39,0,28,-10,12,-1352,104,0,-62,-34,7,-4,4,-160,-77,-35,7,-23,22,-14,1,1.1313235,1776.5,16.0,2229.0,1772.5,1463.5,1406.5,1485.0,1657.0,2121.0,2277.5,2128.5,2378.5,748.0,337.0,0.07583445,101098.664,0.008066,0.4626632382417052,161.5,288.09,1.6413306,"{""type"":""Point"",""coordinates"":[116.57962976149973,34.94307208106955]}"
00000000000000000843,1,83,1190,-164,-8,22,-51,14,-45,-3,41,203,201,38,36,36,72,53,42,39,0,27,-12,11,-1123,21,-1,-3,30,0,28,3,744,-128,-15,27,-34,0,-15,-1,0.92740995,1754.0,15.0,2080.0,1722.0,1657.0,1529.0,1703.0,1686.0,2078.0,2225.0,2198.0,2431.0,586.0,339.0,0.07583445,100108.0,0.0073380005,0.25060834490650397,144.16667,288.26334,2.786664,"{""type"":""Point"",""coordinates"":[114.3868400638614,36.24329243904173]}"
000000000000000011ac,0,65,-1565,-67,-16,19,35,-1,3,5,47,192,191,42,41,44,38,11,7,42,0,7,-17,3,-4049,32,-76,96,64,76,65,13,-1437,-55,-31,36,30,17,0,5,1.4658531,1832.0,16.0,566.0,383.0,1578.0,1516.0,1594.0,1634.5,1575.0,1676.5,1507.5,1390.5,393.0,341.0,0.07583445,100544.664,0.008208667,0.8992445291846317,151.16667,288.34665,2.5279973,"{""type"":""Point"",""coordinates"":[114.93095295170606,35.23502280434182]}"
000000000000000013ab,0,63,-580,-210,-43,158,13,36,-158,3,34,197,195,28,24,17,82,32,17,22,0,46,-20,18,227,71,30,-62,-20,83,55,-1,-671,-145,-66,151,8,9,-71,3,1.4657147,1751.0,18.0,1853.0,1245.0,1440.0,1266.0,1235.0,1400.0,2168.0,2521.0,2495.0,2617.0,985.0,341.0,0.07583445,100544.664,0.008208667,0.25131309836139104,151.16667,288.34665,2.5279973,"{""type"":""Point"",""coordinates"":[114.97029560030059,35.22235895735003]}"
0000000000000000142d,0,64,-474,-194,-54,207,-42,72,-110,3,34,196,194,28,23,19,83,35,19,22,0,46,-19,18,-371,97,24,-93,7,48,55,0,-338,-131,-77,182,-37,34,-43,2,1.4663444,1716.0,18.0,1721.0,1059.5,1372.5,1179.0,1041.5,1311.0,2169.5,2606.0,2546.0,2721.5,958.5,341.0,0.07583445,100544.664,0.008208667,0.6635361572340619,151.16667,288.34665,2.5279973,"{""type"":""Point"",""coordinates"":[114.96535491633335,35.28038969845957]}"
0000000000000000036b,1,111,903,-130,5,24,-62,34,-19,-2,46,204,200,42,41,46,71,64,53,48,1,20,-8,9,-2622,14,-13,0,52,28,63,8,-156,-84,-20,28,-40,15,12,1,0.0,1871.0,16.0,2189.0,1778.0,1586.0,1439.0,1574.0,1620.0,1949.0,2173.0,1881.0,2321.0,724.0,335.25,0.07583445,100181.336,0.008187001,0.7999831142187168,165.75,288.22,1.982664,"{""type"":""Point"",""coordinates"":[117.93599466083586,35.350009643207024]}"
00000000000000000e9f,0,113,505,-155,7,61,-48,129,-57,0,41,203,200,37,33,31,82,56,39,31,1,38,-12,16,-2398,74,-25,-30,18,-23,91,7,-638,-96,-26,52,-9,84,3,3,2.4557781,1730.0,17.0,2587.0,2080.0,1432.0,1308.0,1358.0,1528.0,2063.0,2272.0,2194.0,2413.0,782.0,335.25,0.07583445,100181.336,0.008187001,0.9501548599828988,165.75,288.22,1.982664,"{""type"":""Point"",""coordinates"":[117.95261373046203,35.39402542970559]}"
0000000000000000121d,0,110,272,-126,0,33,-69,31,-31,0,45,204,200,41,38,39,64,57,47,25,1,21,-9,9,-1349,41,-14,0,46,35,53,4,-464,-87,-16,24,-34,10,12,2,2.4555972,1837.0,15.5,1675.0,1298.0,1416.5,1152.0,1067.0,1276.5,1640.5,1871.5,1766.0,1991.0,627.0,335.25,0.07583445,100181.336,0.008187001,0.6612465747472792,165.75,288.22,1.982664,"{""type"":""Point"",""coordinates"":[117.95396037898018,35.38693099992956]}"
00000000000000000351,1,68,128,-126,3,19,-53,34,-37,0,42,206,203,38,36,40,61,61,55,38,0,20,-7,8,-315,56,-12,1,31,-4,28,0,-101,-64,-18,20,-19,5,-4,0,2.3161542,1725.5,16.0,1924.5,1750.0,1460.0,1297.0,1380.0,1470.5,1733.5,1844.0,1736.5,1873.5,750.0,335.5,0.07583445,101047.336,0.007886667,0.4732359189476313,160.08333,288.43,2.244664,"{""type"":""Point"",""coordinates"":[117.74546173192319,36.82656961143877]}"
0000000000000000022b,1,24,-90,-165,-3,36,-39,21,-46,1,42,204,200,37,34,35,67,58,45,32,0,26,-9,11,-1021,104,0,-28,34,22,19,3,274,-83,-15,21,-29,7,-6,0,1.4838401,1849.0,17.5,1924.5,1569.0,1457.0,1240.0,1207.5,1366.5,1730.0,1860.0,1742.5,1973.0,783.0,335.75,0.07583445,101459.336,0.0072283335,0.34799959711279205,159.58333,288.89667,1.8473306,"{""type"":""Point"",""coordinates"":[117.23647764217758,36.82450504765103]}"
0000000000000000135c,0,23,2094,-220,-13,60,-77,1,-11,-6,36,201,200,30,25,21,76,36,19,22,0,36,-14,14,-2269,196,2,-40,55,52,0,7,1973,-104,-30,29,-50,-13,20,-6,2.7802885,1758.0,20.0,2076.0,1639.5,1442.0,1243.0,1227.0,1442.0,1802.0,2089.0,1952.5,2177.5,863.0,335.75,0.07583445,101459.336,0.0072283335,0.9785796702662872,159.58333,288.89667,1.8473306,"{""type"":""Point"",""coordinates"":[117.26504264352597,36.85594616917887]}"
000000000000000003cd,1,63,76,-147,-7,57,-47,36,-81,0,39,200,196,34,27,27,65,52,36,28,0,35,-14,14,509,38,-1,34,21,35,57,-2,-44,-118,-37,80,-40,11,-19,0,1.4640077,1814.0,18.0,2146.0,1775.0,1520.0,1373.0,1484.0,1532.0,1838.0,2031.0,2197.0,2122.0,907.0,341.75,0.07583445,100576.0,0.008323334,0.6549530740987356,151.5,288.46335,2.4319973,"{""type"":""Point"",""coordinates"":[114.98817213642383,35.06389588321373]}"
0000000000000000145c,0,107,1681,-167,-13,6,-128,56,-44,-4,38,200,198,33,28,24,68,50,34,25,1,37,-13,13,-1399,92,10,7,59,-4,25,4,648,-95,-18,5,-96,23,-32,-1,0.92740995,1652.0,22.0,2195.0,1478.0,1328.0,1155.0,1186.0,1405.0,2152.0,2414.0,2372.0,2682.0,708.0,348.16666,0.07583445,100210.664,0.008305667,0.7282414228008378,145.75,289.26334,2.0913305,"{""type"":""Point"",""coordinates"":[113.76835382954636,34.360512823942116]}"
000000000000000014a4,0,111,-2783,-171,8,63,-61,95,-71,10,40,201,199,36,34,36,70,65,53,32,1,36,-12,14,1503,80,-14,2,5,-38,53,-5,-1934,-104,2,31,-55,47,-39,7,1.4563218,1696.0,17.0,1906.0,1312.0,1389.0,1177.0,1163.0,1268.0,2288.0,2536.0,2483.0,2820.0,636.0,348.16666,0.07583445,100210.664,0.008305667,0.5460176246223196,145.75,289.26334,2.0913305,"{""type"":""Point"",""coordinates"":[113.74212093804893,34.33374484031828]}"
00000000000000001cf0,1,63,190,-157,-29,56,7,64,-99,0,36,203,199,30,25,24,70,48,36,24,0,37,-13,16,754,65,-13,10,-8,67,82,-3,210,-149,-51,85,-17,70,-40,0,1.8543341,1663.0,15.0,1808.0,1415.0,1390.0,1195.0,1217.0,1291.0,1934.0,2420.0,2260.0,2538.0,749.0,348.16666,0.07583445,100738.0,0.008502001,0.39304862547388375,147.16667,289.21664,1.938664,"{""type"":""Point"",""coordinates"":[114.49706458280153,34.24948120771131]}"
0000000000000000100c,0,293,-1095,-175,10,50,-160,132,-61,4,40,207,203,37,37,44,65,68,62,40,0,22,-7,10,965,38,-15,-31,65,-91,69,-3,-596,-121,-14,41,-125,79,-37,2,3.0097678,1591.0,17.0,2143.0,1675.0,1374.0,1230.0,1307.0,1370.0,2324.0,2509.0,2438.0,2670.0,736.0,328.41666,0.07583445,96754.664,0.006857667,0.5041700374509461,146.08333,286.61667,2.7059972,"{""type"":""Point"",""coordinates"":[114.13621183005142,36.557436108257]}"
00000000000000000ea5,0,101,79,-161,42,-19,-75,74,-71,0,38,202,201,34,33,35,70,69,51,32,0,30,-7,14,-869,128,-42,-29,7,-26,12,2,-942,-87,12,-27,-47,46,-43,4,2.1736128,1625.0,16.5,2598.0,1928.5,1405.0,1331.5,1385.0,1515.0,2039.0,2367.0,2335.0,2553.0,874.0,336.41666,0.07583445,100637.336,0.008293,0.6138703895417513,164.0,288.13,1.8199973,"{""type"":""Point"",""coordinates"":[117.15257519675592,35.19558651462514]}"
0000000000000000011c,1,33,41,-144,-30,62,-22,41,-71,0,46,202,199,41,39,40,80,63,47,39,0,31,-10,14,-906,26,20,-20,10,2,30,2,-90,-90,-25,54,-17,12,-35,1,1.479349,1941.5,18.5,2227.0,1730.0,1675.0,1475.0,1541.5,1723.0,2192.0,2419.0,2361.0,2568.5,819.0,338.41666,0.07583445,101221.336,0.008490334,0.6574350977597098,157.0,288.48334,3.0113306,"{""type"":""Point"",""coordinates"":[116.36744789697259,36.44029552358297]}"
0000000000000000138c,0,31,658,-157,-36,201,-3,0,-169,0,35,198,196,29,24,20,94,38,22,21,0,51,-18,21,-1219,54,22,-110,-36,47,60,3,455,-97,-33,153,-1,-19,-96,0,1.8543341,1822.5,18.0,1755.0,1040.5,1498.5,1275.0,1106.5,1382.5,2398.5,3056.5,2993.5,3198.0,910.5,338.41666,0.07583445,101221.336,0.008490334,0.9503409941564589,157.0,288.48334,3.0113306,"{""type"":""Point"",""coordinates"":[116.35576951131358,36.476855693120164]}"
00000000000000001d19,1,60,455,-159,-32,56,-18,51,-76,0,40,202,200,36,32,34,67,56,45,28,0,29,-12,12,-1293,52,-31,33,10,67,2,3,-174,-103,-47,74,-31,28,-29,1,1.1370714,1712.5,18.0,2196.0,1950.0,1554.0,1374.0,1663.0,1693.0,1958.5,2066.0,2164.0,2197.0,870.5,340.66666,0.07583445,100568.664,0.008150334,0.30616911851064754,150.75,288.31665,2.5693307,"{""type"":""Point"",""coordinates"":[114.94415634992528,35.35557906042278]}"
00000000000000000ffc,0,419,-2428,-203,-12,62,-80,-14,74,9,35,196,194,28,23,18,74,48,25,21,0,39,-12,16,-2021,183,-46,3,63,34,3,6,-2792,-118,-47,55,-37,-52,98,10,24.56479,1433.5,16.0,2152.5,1144.5,1154.0,1018.5,817.0,1200.5,2100.5,2491.0,2374.5,2784.5,1071.0,327.41666,0.07583445,97952.0,0.007755,0.33030482080041,166.33333,286.97333,2.0913305,"{""type"":""Point"",""coordinates"":[118.0179217244908,35.525988066281265]}"
00000000000000001009,0,243,-165,-199,6,23,-73,-4,28,1,35,197,195,30,26,25,68,59,39,28,0,31,-9,13,-1943,110,-73,13,83,22,43,6,-904,-134,-20,34,-42,-9,44,4,4.6432996,1485.0,15.0,2338.0,1531.0,1237.0,1082.0,963.0,1415.0,1991.0,2289.0,2141.0,2532.0,852.0,327.41666,0.07583445,97952.0,0.007755,0.7709767243833265,166.33333,286.97333,2.0913305,"{""type"":""Point"",""coordinates"":[118.03400124288953,35.554285521566435]}"
000000000000000001db,1,67,228,-130,-6,56,-24,52,-93,0,39,201,197,33,27,29,62,51,39,26,0,30,-13,12,843,35,-5,45,47,50,58,-3,-144,-106,-33,77,-28,41,-30,1,1.4638766,1827.0,17.0,2063.0,1748.0,1546.0,1366.0,1448.0,1523.0,1806.0,1963.0,2029.0,2152.0,936.0,341.41666,0.07583445,100614.664,0.008385668,0.8685417600010988,152.25,288.37997,2.4359972,"{""type"":""Point"",""coordinates"":[115.01251882817566,35.05167794632729]}"
00000000000000000d3c,0,317,-1038,-207,-25,38,-154,29,28,4,34,196,194,27,24,19,71,42,21,21,0,37,-14,15,-210,98,-10,12,77,18,6,0,-1156,-126,-56,47,-107,0,71,5,4.409508,1514.0,15.0,1687.0,956.0,1171.0,998.0,860.0,1094.0,2114.0,2617.0,2656.0,2743.0,850.0,327.66666,0.07583445,97915.336,0.007845667,0.603004586365557,166.58333,287.07666,2.398664,"{""type"":""Point"",""coordinates"":[118.06760056932724,35.831325010915975]}"
00000000000000000d99,0,282,191,-238,76,-5,-72,30,6,0,34,187,185,28,21,19,31,34,23,20,1,27,-11,12,-895,139,-65,-38,73,-25,-18,2,-78,-175,30,7,-33,17,9,1,28.144985,1371.0,17.0,1080.0,597.0,1033.0,835.0,659.0,848.0,1091.0,1152.0,1254.0,1230.0,600.0,303.91666,0.07583445,98442.664,0.006014,0.29877433794218433,162.5,283.82,2.6606638,"{""type"":""Point"",""coordinates"":[119.2295709582384,40.462141586829]}"
000000000000000011f9,0,313,774,-314,54,23,-55,23,5,-1,33,186,186,26,18,14,29,21,11,20,1,35,-16,16,-358,93,-56,-56,38,-5,-21,0,-375,-229,-8,32,-8,32,2,2,12.067017,1282.0,19.0,1491.0,827.0,984.0,823.0,671.0,984.0,1495.0,1733.0,1645.0,1867.0,780.0,303.91666,0.07583445,98442.664,0.006014,0.7065792724417936,162.5,283.82,2.6606638,"{""type"":""Point"",""coordinates"":[119.24556129461604,40.41479931094457]}"
00000000000000000ff4,0,284,-199,-238,48,-15,-51,55,0,1,36,185,185,28,21,17,34,22,12,18,1,31,-15,13,515,-11,-112,-32,36,-23,-8,-2,-1030,-172,-2,-10,-4,48,-1,4,17.27755,1333.0,19.0,958.0,491.0,959.0,762.5,558.5,834.5,1324.0,1480.0,1385.5,1558.5,735.0,305.91666,0.07583445,99049.336,0.0061460007,0.6100506699416156,162.33333,284.12665,2.530664,"{""type"":""Point"",""coordinates"":[119.19013466852174,40.384348109850585]}"
000000000000000001de,1,42,726,-216,-12,45,-80,58,-71,-1,37,204,202,32,29,30,71,61,46,31,0,34,-12,14,-80,139,-23,-27,-9,-16,1,0,-519,-99,-28,8,-47,11,-14,2,1.4622297,1743.5,15.5,2629.0,2214.0,1608.0,1489.0,1512.5,1734.5,1946.0,2261.0,2125.0,2449.5,706.0,338.33334,0.07583445,101006.664,0.00829,0.6697899497926343,159.5,288.09332,1.8099972,"{""type"":""Point"",""coordinates"":[116.252015148002,34.8974376408886]}"
000000000000000003a7,1,45,602,-182,-18,46,-55,64,-75,-1,44,204,199,39,34,34,72,65,52,33,0,31,-10,13,74,122,-27,-36,-33,-12,0,0,-376,-78,-26,5,-28,17,-18,2,1.130459,1684.5,17.0,2328.0,1719.0,1461.0,1352.0,1429.5,1582.0,2025.0,2239.5,2204.5,2375.5,673.0,338.33334,0.07583445,101006.664,0.00829,0.9210877715392021,159.5,288.09332,1.8099972,"{""type"":""Point"",""coordinates"":[116.22299977744728,34.880368202056005]}"
00000000000000000b15,0,291,-1446,-257,21,70,-122,86,-20,5,36,202,200,30,25,24,47,40,27,24,0,26,-10,12,1389,65,-32,-21,31,-48,15,-5,-1025,-189,-15,66,-91,28,1,4,5.1660023,1549.0,16.0,1795.0,1063.0,1197.0,1015.0,844.0,1069.0,2051.0,2231.0,2118.0,2383.0,669.0,329.08334,0.07583445,96885.336,0.006927334,0.25987764559696125,147.0,286.81,2.6233306,"{""type"":""Point"",""coordinates"":[114.09848337603823,36.51359868580057]}"
000000000000000004f3,1,64,-12,-143,-24,68,-63,47,-70,1,35,201,198,31,29,29,67,50,36,26,0,33,-15,13,119,36,10,16,44,49,35,-1,-88,-99,-27,67,-32,11,-21,1,0.92740995,1851.0,21.0,1991.0,1606.0,1478.0,1297.0,1334.0,1532.0,1900.0,2074.0,1971.0,2139.0,938.0,341.08334,0.07583445,100620.0,0.008338001,0.7453296471983608,152.25,288.3333,2.4813306,"{""type"":""Point"",""coordinates"":[115.0216822808405,35.10396090617893]}"
0000000000000000116a,0,177,-448,-162,-16,38,-140,74,1,2,38,207,204,36,36,41,71,72,57,39,0,24,-6,12,665,71,16,-34,71,-51,-14,-2,459,-113,-29,32,-114,42,4,0,4.7167673,1549.5,15.5,2203.0,1584.0,1310.6666666666667,1182.5,1201.0,1347.3333333333333,2227.0,2459.0,2347.0,2737.5,737.3333333333333,331.58334,0.07583445,98718.664,0.007831,0.3040672466864308,153.08333,288.00665,3.322664,"{""type"":""Point"",""coordinates"":[113.98906595438878,38.30043628263424]}"
00000000000000001dc3,1,85,-1085,-142,19,34,9,11,-5,4,46,187,186,39,31,26,31,19,14,28,0,18,-11,7,335,-20,28,-10,45,27,-4,-1,-1034,-98,-1,17,1,0,3,4,2.1706786,1777.0,17.0,1216.0,758.0,1444.0,1222.0,1074.0,1216.0,1541.0,1758.0,1442.0,1872.0,415.0,347.83334,0.07583445,100468.0,0.008153001,0.5201014339786394,148.66667,289.56332,2.042664,"{""type"":""Point"",""coordinates"":[113.81245879806599,34.78775267317594]}"
00000000000000001dcf,1,86,-1102,-91,2,23,-20,28,-1,4,51,203,200,47,42,43,61,58,47,41,1,17,-6,7,1750,-11,-11,-15,19,-3,23,-6,-911,-59,-5,2,-12,10,3,3,2.4401271,1920.0,22.0,2066.0,1786.0,1713.0,1416.0,1453.0,1530.0,1709.0,2039.0,1987.0,2104.0,525.0,347.83334,0.07583445,100468.0,0.008153001,0.43933418362000765,148.66667,289.56332,2.042664,"{""type"":""Point"",""coordinates"":[113.82889950365005,34.78443064289111]}"
000000000000000007d2,1,58,567,-66,-11,-1,-42,-13,-28,-1,39,200,197,34,31,31,35,27,22,28,0,21,-9,9,-474,18,-17,2,23,13,-7,1,678,-70,-14,9,-1,4,-15,-1,0.0,1658.0,12.0,1889.0,1684.5,1369.5,1237.0,1237.0,1309.5,1501.0,1679.0,1533.0,1763.0,487.5,364.58334,0.26083446,99658.0,0.011566,0.3884675996668233,142.91667,290.70667,3.036664,"{""type"":""Point"",""coordinates"":[117.18078347002003,30.087766521721843]}"
00000000000000001570,0,205,1413,-185,-6,0,-45,-41,6,-3,32,195,193,25,19,13,61,33,14,17,0,47,-17,18,567,99,13,-8,28,23,-18,-2,715,-136,-16,-28,-40,16,32,-1,44.386944,1337.5,12.0,1513.0,653.5,997.5,815.5,563.0,824.5,1879.5,2338.0,2159.0,2656.5,806.0,364.58334,0.26083446,99658.0,0.011566,0.9627367525630368,142.91667,290.70667,3.036664,"{""type"":""Point"",""coordinates"":[117.1072083026382,30.044647014535027]}"
0000000000000000066d,1,47,691,-181,-21,49,-15,77,-84,-1,43,193,191,38,33,31,59,46,30,36,0,34,-11,14,750,82,-29,-33,-19,-12,-2,-3,1368,-82,-28,13,-11,24,-55,-3,2.1923254,1680.0,15.0,2261.0,1662.0,1453.0,1422.0,1450.0,1477.0,1853.0,2034.0,2243.0,2196.0,741.0,352.75,0.13750112,100753.336,0.009929667,0.3691792544710527,151.08333,289.44,2.416664,"{""type"":""Point"",""coordinates"":[117.51801190538903,32.25171921284755]}"
00000000000000000fd9,0,58,1138,-236,97,-30,-73,50,-52,-2,36,195,192,31,25,21,52,34,16,25,0,36,-18,15,-1686,168,-13,-16,-37,19,59,5,-75,-141,47,1,-69,13,-16,1,2.3747048,1383.5,13.5,1114.0,611.0,1143.0,1036.5,930.5,1110.5,1328.5,1415.5,1449.0,1435.5,579.0,356.16666,0.13750112,100675.336,0.010015334,0.4166714247853772,141.83333,289.56665,2.039997,"{""type"":""Point"",""coordinates"":[115.54081974368478,32.008814142062135]}"
000000000000000010a4,0,74,728,-217,62,-39,-78,57,-52,-1,36,199,197,30,28,24,64,40,21,25,0,31,-16,14,-1691,131,-44,-4,-26,-16,76,5,-591,-146,22,-4,-84,36,-23,2,2.375571,1361.0,13.0,965.0,508.0,1119.0,1022.0,850.0,983.0,1245.0,1263.0,1140.0,1289.0,568.0,356.16666,0.13750112,100675.336,0.010015334,0.36709943227474984,141.83333,289.56665,2.039997,"{""type"":""Point"",""coordinates"":[115.52096336669379,32.048428795820946]}"
00000000000000001435,0,51,925,-209,97,-53,-82,84,-59,-2,37,200,197,32,28,21,84,41,18,26,0,36,-15,15,-1301,182,-70,1,-55,21,102,3,-715,-128,41,-16,-71,56,-29,3,0.92740995,1395.0,12.0,1539.0,856.0,1141.0,990.0,869.0,1193.0,1678.0,1845.0,1707.0,1942.0,608.0,356.16666,0.13750112,100675.336,0.010015334,0.5359456384270161,141.83333,289.56665,2.039997,"{""type"":""Point"",""coordinates"":[115.50937862215693,32.08606806781309]}"
00000000000000000910,1,77,25,-232,-1,18,-87,53,-21,1,33,198,195,26,21,16,68,42,21,20,0,39,-15,14,1647,110,-33,-19,9,27,7,-6,606,-164,-57,47,-70,78,-38,-1,0.0,1539.0,15.0,1896.0,1340.0,1211.0,1041.0,853.0,1155.0,1967.5,2169.0,2097.0,2249.0,586.0,356.83334,0.13750112,100430.0,0.009528667,0.4368689413053817,138.66667,289.66,2.1179972,"{""type"":""Point"",""coordinates"":[114.41396923467056,31.921500484334615]}"
00000000000000001087,0,56,874,-226,63,-45,-79,73,-51,-1,35,198,195,30,27,22,64,36,17,24,0,37,-14,14,360,154,-55,-33,-44,17,48,-1,433,-137,22,-35,-44,28,-17,0,1.4335943,1491.5,14.0,1850.5,917.0,1200.0,1138.5,951.5,1395.0,1811.5,1926.0,1957.5,2141.5,722.5,357.58334,0.13750112,100746.0,0.009783001,0.32176993009301647,139.41667,289.78,2.178664,"{""type"":""Point"",""coordinates"":[114.8428277375868,31.987704757675125]}"
0000000000000000172b,0,3,-322,-145,-28,29,-135,46,12,2,41,199,197,35,28,24,80,39,21,22,0,39,-11,15,1867,40,13,-26,32,-21,-28,-7,-1704,-83,-4,-5,-111,23,22,6,2.986108,1682.0,17.5,1551.5,981.0,1341.0,1087.5,899.0,1193.0,1751.0,2015.0,1976.5,2081.0,924.5,357.0,0.20000112,101404.0,0.009830001,0.670659418526951,149.58333,290.12997,1.8426639,"{""type"":""Point"",""coordinates"":[120.04434236182507,31.796632277534968]}"
