year,seed,band,importance
Sentinel_2017_2019,1,Landsat_B7,113.51413114627451
Sentinel_2017_2019,1,SLOPE,75.97135904850752
Sentinel_2017_2019,1,Sentinel_B9,119.50174062440783
Sentinel_2017_2019,1,random,76.89725636590263
Sentinel_2017_2019,1,shum,104.83542783361236
Sentinel_2017_2019,1,srad,79.7155109846875
Sentinel_2017_2019,1,Landsat_B1,61.64409554413886
Sentinel_2017_2019,1,NDBI_constant,90.36372385957631
Sentinel_2017_2019,1,NDBI_sin_1,89.28530966849624
Sentinel_2017_2019,1,NDBI_sin_3,82.25117644384261
Sentinel_2017_2019,1,NDVI_cos_2,86.84575230629
Sentinel_2017_2019,1,NDVI_sin_1,108.01620726814922
Sentinel_2017_2019,1,Sentinel_B2,98.70985110714524
Sentinel_2017_2019,1,Sentinel_B8,98.57532851638997
Sentinel_2017_2019,1,wind,82.6815099942982
Sentinel_2017_2019,2,DEM,80.71428822907625
Sentinel_2017_2019,2,Landsat_B7,113.26346247376429
Sentinel_2017_2019,2,SLOPE,78.41035933487687
Sentinel_2017_2019,2,Sentinel_B9,110.33757414828075
Sentinel_2017_2019,2,random,75.69844214857626
Sentinel_2017_2019,2,shum,91.57739101315113
Sentinel_2017_2019,2,srad,85.52992889318676
Sentinel_2017_2019,2,Landsat_B1,62.82265237674239
Sentinel_2017_2019,2,NDBI_constant,95.25074733316619
Sentinel_2017_2019,2,NDBI_sin_1,84.8767383233312
Sentinel_2017_2019,2,NDBI_sin_3,78.01999335581183
Sentinel_2017_2019,2,NDVI_cos_2,93.81721903825436
Sentinel_2017_2019,2,NDVI_sin_1,81.1564434773633
Sentinel_2017_2019,2,Sentinel_B2,95.05602158070936
Sentinel_2017_2019,2,Sentinel_B8,93.62509152465664
Sentinel_2017_2019,2,wind,83.25993817501931
Sentinel_2017_2019,3,DEM,87.32137995824272
Sentinel_2017_2019,3,Landsat_B7,127.67480001118108
Sentinel_2017_2019,3,SLOPE,80.83595856528443
Sentinel_2017_2019,3,Sentinel_B9,105.94052243554556
Sentinel_2017_2019,3,random,69.41743804012611
Sentinel_2017_2019,3,shum,91.58930200212096
Sentinel_2017_2019,3,srad,80.36118740209837
Sentinel_2017_2019,3,Landsat_B1,75.4947328406733
