year,seed,band,importance
1993_1995,6,B7,105.25597415986256
1993_1995,6,DEM,103.46753853389974
1993_1995,6,EVI_sin_2,113.65679176115998
1993_1995,6,Mean_EVI,95.48991354394326
1993_1995,6,Mean_NDBI,97.00923699908964
1993_1995,6,SLOPE,97.25523534048108
1993_1995,6,random,92.33673231549523
1993_1995,6,shum,111.7852860611841
1993_1995,6,B4,86.49699183742635
1993_1995,6,EVI_cos_3,120.4526496357131
1993_1995,6,EVI_sin_3,103.96715603330667
1993_1995,6,EVI_t,67.5656224701297
1993_1995,6,NDBI_constant,91.01305510734443
1993_1995,6,NDVI_constant,99.37983792346364
1993_1995,6,NDVI_t,44.943973555797
1993_1995,6,lrad,120.91919592956594
1993_1995,7,B7,111.52746702287095
1993_1995,7,DEM,110.85001267241114
1993_1995,7,EVI_sin_2,124.2243284808366
1993_1995,7,Mean_EVI,100.80311612932736
1993_1995,7,Mean_NDBI,82.22132365635912
1993_1995,7,SLOPE,111.32980005092261
1993_1995,7,random,100.27284489751558
1993_1995,7,shum,112.70648378813314
1993_1995,7,B4,107.25817498466189
1993_1995,7,EVI_cos_3,117.37127364223751
1993_1995,7,EVI_sin_3,100.45363442794113
1993_1995,7,EVI_t,58.22895194742748
1993_1995,7,NDBI_constant,100.2436258762525
1993_1995,7,NDVI_constant,97.71660050269897
1993_1995,7,NDVI_t,60.250258545462614
1993_1995,7,lrad,118.75460611228769
1993_1995,8,B7,112.70319849203332
1993_1995,8,DEM,113.5694510269231
1993_1995,8,EVI_sin_2,113.04941324220742
1993_1995,8,Mean_EVI,90.51890302213278
1993_1995,8,Mean_NDBI,89.70393274243726
1993_1995,8,SLOPE,106.75790713493868
1993_1995,8,random,104.48504281633205
1993_1995,8,shum,121.18808874211193
1993_1995,8,B4,88.84724401088137
1993_1995,8,EVI_cos_3,109.70736980623963
1993_1995,8,EVI_sin_3,97.18226879949287
1993_1995,8,EVI_t,62.30949122051634
1993_1995,8,NDBI_constant,102.17381334293857
1993_1995,8,NDVI_constant,94.69043942304059
1993_1995,8,NDVI_t,50.99488606065557
1993_1995,8,lrad,113.68971235687282
1993_1995,9,B7,113.17117398403569
1993_1995,9,DEM,105.37987917052286
1993_1995,9,EVI_sin_2,107.57177106427022
1993_1995,9,Mean_EVI,101.80614972184303
1993_1995,9,Mean_NDBI,90.23597359433467
1993_1995,9,SLOPE,102.85284647659024
1993_1995,9,random,89.94457730688677
1993_1995,9,shum,119.74747106948645
1993_1995,9,B4,102.2749842760692
1993_1995,9,EVI_cos_3,108.30508607387266
1993_1995,9,EVI_sin_3,94.90982350084424
1993_1995,9,EVI_t,60.97880133821896
1993_1995,9,NDBI_constant,99.13853538890133
1993_1995,9,NDVI_constant,103.22161999854383
1993_1995,9,NDVI_t,58.1275239926487
1993_1995,9,lrad,117.51749387260398
1996_1998,0,B7,87.71203389057992
1996_1998,0,DEM,101.49471662353066
1996_1998,0,Mean_EVI,83.21098400303028
1996_1998,0,Mean_NDBI,75.91941968368833
1996_1998,0,NDBI_cos_3,109.35272135290596
1996_1998,0,NDBI_sin_2,95.2359982368099
1996_1998,0,NDBI_sin_3,100.74229585353788
1996_1998,0,SLOPE,92.94935408116017
1996_1998,0,pres,93.4805184791768
1996_1998,0,random,83.07020894194247
1996_1998,0,EVI_cos_3,100.23320441551077
1996_1998,0,lrad,130.68223013186733
1996_1998,0,B1,80.18895319259738
1996_1998,0,EVI_sin_1,95.40787268363819
1996_1998,0,NDVI_cos_2,95.31002420160267
1996_1998,0,NDVI_sin_2,106.29938204411611
1996_1998,1,B7,98.8097308375884
1996_1998,1,DEM,105.71417843140787
1996_1998,1,Mean_EVI,108.28562725595114
1996_1998,1,Mean_NDBI,94.77268406078468
1996_1998,1,NDBI_cos_3,95.46752706848552
1996_1998,1,NDBI_sin_2,103.33976821247796
1996_1998,1,NDBI_sin_3,104.59116312711305
1996_1998,1,SLOPE,94.48009878339592
1996_1998,1,pres,104.13066775222072
1996_1998,1,random,89.0987742405933
1996_1998,1,EVI_cos_3,115.04928642035259
1996_1998,1,lrad,125.49142813801335
1996_1998,1,B1,73.5982109571597
1996_1998,1,EVI_sin_1,116.20699954913009
1996_1998,1,NDVI_cos_2,108.21834021814436
1996_1998,1,NDVI_sin_2,111.27014133156668
1996_1998,2,B7,101.20133809472453
