Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Each_year,2008_2010,Landsat,100,30,92.31,91.76,92.93,93.53,91.01
Invarient,2008_2010,Landsat,100,30,79.76,80.64,78.91,78.68,80.84
Each_year,2008_2010,Landsat,100,40,92.23,91.72,92.81,93.41,90.97
Invarient,2008_2010,Landsat,100,40,79.85,80.84,78.9,78.61,81.11
Each_year,2008_2010,Landsat,100,50,92.11,91.67,92.61,93.22,90.93
Invarient,2008_2010,Landsat,100,50,79.78,80.81,78.78,78.46,81.11
Each_year,2008_2010,Landsat,100,60,92.21,91.71,92.77,93.37,90.97
Invarient,2008_2010,Landsat,100,60,80.04,81.06,79.07,78.76,81.34
Each_year,2008_2010,Landsat,100,70,92.21,91.56,92.95,93.57,90.76
Invarient,2008_2010,Landsat,100,70,79.98,81.06,78.96,78.61,81.38
Each_year,2008_2010,Landsat,100,80,92.29,91.6,93.07,93.68,90.8
Invarient,2008_2010,Landsat,100,80,80.02,80.93,79.15,78.91,81.15
Each_year,2008_2010,Landsat,100,90,92.27,91.57,93.07,93.68,90.76
Invarient,2008_2010,Landsat,100,90,80.02,80.98,79.1,78.83,81.23
Each_year,2008_2010,Landsat,100,100,92.23,91.56,92.99,93.61,90.76
Invarient,2008_2010,Landsat,100,100,80.33,81.36,79.34,79.02,81.65
Each_year,2008_2010,Landsat,100,110,92.17,91.55,92.87,93.49,90.76
Invarient,2008_2010,Landsat,100,110,80.37,81.45,79.33,78.99,81.77
Each_year,2008_2010,Landsat,100,120,92.21,91.62,92.88,93.49,90.85
Invarient,2008_2010,Landsat,100,120,80.56,81.6,79.56,79.25,81.88
Each_year,2008_2010,Fourier,100,1,91.91,92.41,91.39,91.91,91.92
Invarient,2008_2010,Fourier,100,1,83.11,83.89,82.35,82.24,83.99
Each_year,2008_2010,Fourier,100,10,95.42,94.41,96.56,96.88,93.86
Invarient,2008_2010,Fourier,100,10,89.19,87.22,91.42,92.01,86.33
Each_year,2008_2010,Fourier,100,20,95.74,94.77,96.82,97.11,94.27
Invarient,2008_2010,Fourier,100,20,90.11,88.84,91.49,91.9,88.29
Each_year,2008_2010,Fourier,100,30,95.84,95.05,96.71,97.0,94.6
Invarient,2008_2010,Fourier,100,30,90.45,89.43,91.55,91.9,88.98
Each_year,2008_2010,Fourier,100,40,95.98,95.2,96.84,97.11,94.76
Invarient,2008_2010,Fourier,100,40,90.74,89.72,91.83,92.16,89.29
Each_year,2008_2010,Fourier,100,50,96.06,95.31,96.88,97.15,94.89
Invarient,2008_2010,Fourier,100,50,90.7,89.68,91.79,92.12,89.25
Each_year,2008_2010,Fourier,100,60,96.02,95.34,96.76,97.03,94.93
Invarient,2008_2010,Fourier,100,60,90.62,89.61,91.71,92.05,89.17
Each_year,2008_2010,Fourier,100,70,96.04,95.41,96.73,97.0,95.01
Invarient,2008_2010,Fourier,100,70,90.62,89.72,91.58,91.9,89.33
Each_year,2008_2010,Fourier,100,80,96.12,95.53,96.77,97.03,95.13
Invarient,2008_2010,Fourier,100,80,90.68,89.68,91.75,92.09,89.25
Each_year,2008_2010,Fourier,100,90,96.12,95.49,96.81,97.07,95.09
Invarient,2008_2010,Fourier,100,90,90.74,89.63,91.93,92.28,89.17
Each_year,2008_2010,Fourier,100,100,96.14,95.46,96.89,97.15,95.05
Invarient,2008_2010,Fourier,100,100,90.83,89.74,92.01,92.35,89.29
Each_year,2008_2010,Fourier,100,110,96.1,95.45,96.81,97.07,95.05
Invarient,2008_2010,Fourier,100,110,90.79,89.67,92.0,92.35,89.21
Each_year,2008_2010,Fourier,100,120,96.14,95.56,96.77,97.03,95.18
Invarient,2008_2010,Fourier,100,120,90.62,89.55,91.78,92.12,89.1
Each_year,2008_2010,Landsat_Fourier,100,1,92.63,93.17,92.06,92.53,92.74
Invarient,2008_2010,Landsat_Fourier,100,1,83.87,84.29,83.45,83.53,84.22
Each_year,2008_2010,Landsat_Fourier,100,10,96.3,95.23,97.5,97.73,94.76
Invarient,2008_2010,Landsat_Fourier,100,10,91.38,89.76,93.18,93.56,89.17
Each_year,2008_2010,Landsat_Fourier,100,20,96.77,95.65,98.05,98.23,95.22
Invarient,2008_2010,Landsat_Fourier,100,20,92.01,90.97,93.13,93.41,90.6
Each_year,2008_2010,Landsat_Fourier,100,30,96.79,95.75,97.97,98.15,95.34
Invarient,2008_2010,Landsat_Fourier,100,30,91.99,91.08,92.96,93.22,90.75
Each_year,2008_2010,Landsat_Fourier,100,40,96.75,95.72,97.92,98.11,95.3
Invarient,2008_2010,Landsat_Fourier,100,40,92.01,91.09,93.0,93.26,90.75
Each_year,2008_2010,Landsat_Fourier,100,50,96.83,95.96,97.81,98.0,95.59
Invarient,2008_2010,Landsat_Fourier,100,50,92.28,91.47,93.14,93.37,91.17
Each_year,2008_2010,Landsat_Fourier,100,60,96.89,96.07,97.81,98.0,95.71
Invarient,2008_2010,Landsat_Fourier,100,60,92.11,91.29,92.98,93.22,90.98
Each_year,2008_2010,Landsat_Fourier,100,70,96.87,96.11,97.73,97.92,95.75
Invarient,2008_2010,Landsat_Fourier,100,70,92.24,91.52,93.0,93.22,91.25
Each_year,2008_2010,Landsat_Fourier,100,80,96.83,96.03,97.73,97.92,95.67
Invarient,2008_2010,Landsat_Fourier,100,80,92.17,91.42,92.95,93.18,91.13
Each_year,2008_2010,Landsat_Fourier,100,90,96.85,96.14,97.65,97.84,95.79
Invarient,2008_2010,Landsat_Fourier,100,90,92.36,91.54,93.22,93.45,91.25
Each_year,2008_2010,Landsat_Fourier,100,100,96.87,96.14,97.69,97.88,95.79
Invarient,2008_2010,Landsat_Fourier,100,100,92.55,91.82,93.31,93.53,91.55
Each_year,2008_2010,Landsat_Fourier,100,110,96.87,96.0,97.85,98.04,95.63
Invarient,2008_2010,Landsat_Fourier,100,110,92.41,91.58,93.29,93.53,91.29
Each_year,2008_2010,Landsat_Fourier,100,120,96.87,96.07,97.77,97.96,95.71
Invarient,2008_2010,Landsat_Fourier,100,120,92.39,91.58,93.25,93.49,91.29
Each_year,2008_2010,Landsat_Mean,100,1,91.48,92.31,90.61,91.1,91.88
Invarient,2008_2010,Landsat_Mean,100,1,76.95,77.02,76.89,77.28,76.62
Each_year,2008_2010,Landsat_Mean,100,10,93.73,92.29,95.4,95.88,91.42
Invarient,2008_2010,Landsat_Mean,100,10,82.48,81.68,83.35,84.06,80.88
Each_year,2008_2010,Landsat_Mean,100,20,93.99,92.58,95.62,96.07,91.75
Invarient,2008_2010,Landsat_Mean,100,20,83.89,84.14,83.64,83.79,83.99
Each_year,2008_2010,Landsat_Mean,100,30,94.26,92.87,95.88,96.3,92.08
Invarient,2008_2010,Landsat_Mean,100,30,83.78,84.21,83.35,83.42,84.15
Each_year,2008_2010,Landsat_Mean,100,40,94.34,93.04,95.85,96.26,92.29
Invarient,2008_2010,Landsat_Mean,100,40,84.06,85.02,83.14,82.96,85.18
Each_year,2008_2010,Landsat_Mean,100,50,94.4,93.14,95.85,96.26,92.41
Invarient,2008_2010,Landsat_Mean,100,50,84.31,85.4,83.27,83.04,85.6
Each_year,2008_2010,Landsat_Mean,100,60,94.46,93.18,95.93,96.34,92.45
Invarient,2008_2010,Landsat_Mean,100,60,84.37,85.55,83.24,82.96,85.8
Each_year,2008_2010,Landsat_Mean,100,70,94.5,93.35,95.82,96.22,92.66
Invarient,2008_2010,Landsat_Mean,100,70,84.35,85.3,83.43,83.26,85.45
Each_year,2008_2010,Landsat_Mean,100,80,94.48,93.22,95.94,96.34,92.49
Invarient,2008_2010,Landsat_Mean,100,80,84.48,85.56,83.45,83.23,85.76
Each_year,2008_2010,Landsat_Mean,100,90,94.48,93.25,95.9,96.3,92.54
Invarient,2008_2010,Landsat_Mean,100,90,84.41,85.48,83.38,83.15,85.68
Each_year,2008_2010,Landsat_Mean,100,100,94.42,93.11,95.93,96.34,92.37
Invarient,2008_2010,Landsat_Mean,100,100,84.39,85.5,83.32,83.07,85.72
Each_year,2008_2010,Landsat_Mean,100,110,94.42,93.21,95.81,96.22,92.49
Invarient,2008_2010,Landsat_Mean,100,110,84.39,85.45,83.37,83.15,85.64
Each_year,2008_2010,Landsat_Mean,100,120,94.4,93.14,95.85,96.26,92.41
Invarient,2008_2010,Landsat_Mean,100,120,84.27,85.3,83.28,83.07,85.49
Each_year,2008_2010,Fourier_Mean,100,1,93.85,94.93,92.73,93.07,94.68
Invarient,2008_2010,Fourier_Mean,100,1,84.1,84.24,83.97,84.17,84.03
Each_year,2008_2010,Fourier_Mean,100,10,96.63,95.71,97.68,97.88,95.3
Invarient,2008_2010,Fourier_Mean,100,10,90.45,88.3,92.9,93.41,87.45
Each_year,2008_2010,Fourier_Mean,100,20,96.89,96.04,97.85,98.04,95.67
Invarient,2008_2010,Fourier_Mean,100,20,91.46,89.77,93.33,93.71,89.17
Each_year,2008_2010,Fourier_Mean,100,30,97.09,96.26,98.02,98.19,95.92
Invarient,2008_2010,Fourier_Mean,100,30,91.77,90.21,93.48,93.83,89.67
Each_year,2008_2010,Fourier_Mean,100,40,97.01,96.19,97.94,98.11,95.84
Invarient,2008_2010,Fourier_Mean,100,40,91.96,90.45,93.61,93.94,89.94
Each_year,2008_2010,Fourier_Mean,100,50,97.03,96.26,97.9,98.07,95.92
Invarient,2008_2010,Fourier_Mean,100,50,92.01,90.64,93.51,93.83,90.17
Each_year,2008_2010,Fourier_Mean,100,60,97.13,96.4,97.94,98.11,96.08
Invarient,2008_2010,Fourier_Mean,100,60,91.88,90.32,93.6,93.94,89.79
Each_year,2008_2010,Fourier_Mean,100,70,97.17,96.48,97.94,98.11,96.16
Invarient,2008_2010,Fourier_Mean,100,70,92.05,90.64,93.59,93.9,90.17
Each_year,2008_2010,Fourier_Mean,100,80,97.23,96.52,98.03,98.19,96.21
Invarient,2008_2010,Fourier_Mean,100,80,92.05,90.64,93.59,93.9,90.17
Each_year,2008_2010,Fourier_Mean,100,90,97.21,96.52,97.98,98.15,96.21
Invarient,2008_2010,Fourier_Mean,100,90,91.84,90.64,93.14,93.45,90.21
Each_year,2008_2010,Fourier_Mean,100,100,97.23,96.55,97.98,98.15,96.25
Invarient,2008_2010,Fourier_Mean,100,100,91.84,90.7,93.07,93.37,90.29
Each_year,2008_2010,Fourier_Mean,100,110,97.27,96.62,97.99,98.15,96.33
Invarient,2008_2010,Fourier_Mean,100,110,91.9,90.71,93.19,93.49,90.29
Each_year,2008_2010,Fourier_Mean,100,120,97.25,96.62,97.95,98.11,96.33
Invarient,2008_2010,Fourier_Mean,100,120,91.99,90.9,93.16,93.45,90.52
Each_year,2008_2010,Landsat_Fourier_Mean,100,1,93.43,93.61,93.23,93.68,93.15
Invarient,2008_2010,Landsat_Fourier_Mean,100,1,84.08,85.03,83.17,83.0,85.18
Each_year,2008_2010,Landsat_Fourier_Mean,100,10,96.63,95.3,98.16,98.34,94.8
Invarient,2008_2010,Landsat_Fourier_Mean,100,10,91.19,89.52,93.05,93.45,88.91
Each_year,2008_2010,Landsat_Fourier_Mean,100,20,96.99,95.84,98.3,98.46,95.42
Invarient,2008_2010,Landsat_Fourier_Mean,100,20,91.71,90.52,92.99,93.3,90.1
Each_year,2008_2010,Landsat_Fourier_Mean,100,30,97.19,96.2,98.31,98.46,95.84
Invarient,2008_2010,Landsat_Fourier_Mean,100,30,92.13,90.96,93.39,93.68,90.56
Each_year,2008_2010,Landsat_Fourier_Mean,100,40,97.19,96.2,98.31,98.46,95.84
Invarient,2008_2010,Landsat_Fourier_Mean,100,40,92.38,91.24,93.59,93.87,90.86
Each_year,2008_2010,Landsat_Fourier_Mean,100,50,97.11,96.12,98.22,98.38,95.75
Invarient,2008_2010,Landsat_Fourier_Mean,100,50,92.47,91.47,93.54,93.79,91.13
Each_year,2008_2010,Landsat_Fourier_Mean,100,60,97.09,96.16,98.14,98.31,95.79
Invarient,2008_2010,Landsat_Fourier_Mean,100,60,92.45,91.44,93.54,93.79,91.09
Each_year,2008_2010,Landsat_Fourier_Mean,100,70,97.15,96.27,98.14,98.31,95.92
Invarient,2008_2010,Landsat_Fourier_Mean,100,70,92.6,91.83,93.42,93.64,91.55
Each_year,2008_2010,Landsat_Fourier_Mean,100,80,97.19,96.27,98.23,98.38,95.92
Invarient,2008_2010,Landsat_Fourier_Mean,100,80,92.6,91.86,93.39,93.6,91.59
Each_year,2008_2010,Landsat_Fourier_Mean,100,90,97.15,96.23,98.18,98.34,95.88
Invarient,2008_2010,Landsat_Fourier_Mean,100,90,92.64,91.87,93.46,93.68,91.59
Each_year,2008_2010,Landsat_Fourier_Mean,100,100,97.25,96.41,98.19,98.34,96.08
Invarient,2008_2010,Landsat_Fourier_Mean,100,100,92.58,91.77,93.45,93.68,91.48
Each_year,2008_2010,Landsat_Fourier_Mean,100,110,97.21,96.37,98.15,98.31,96.04
Invarient,2008_2010,Landsat_Fourier_Mean,100,110,92.58,91.89,93.32,93.53,91.63
Each_year,2008_2010,Landsat_Fourier_Mean,100,120,97.13,96.23,98.14,98.31,95.88
Invarient,2008_2010,Landsat_Fourier_Mean,100,120,92.41,91.77,93.09,93.3,91.52
