Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Visaull,2011_2013,Landsat,100,70,88.13,90.13,67.3,96.64,39.51
Invarient,2011_2013,Landsat,100,70,82.78,82.85,82.71,82.27,83.28
Visaull,2011_2013,Landsat,100,80,88.16,90.13,67.56,96.68,39.51
Invarient,2011_2013,Landsat,100,80,82.62,82.67,82.58,82.15,83.09
Visaull,2011_2013,Landsat,100,90,88.07,90.09,66.92,96.6,39.29
Invarient,2011_2013,Landsat,100,90,82.66,82.63,82.69,82.31,83.01
Visaull,2011_2013,Landsat,100,100,87.97,89.93,66.8,96.68,38.17
Invarient,2011_2013,Landsat,100,100,82.72,82.73,82.71,82.31,83.13
Visaull,2011_2013,Landsat,100,110,88.16,90.19,67.29,96.6,39.96
Invarient,2011_2013,Landsat,100,110,82.8,82.91,82.69,82.23,83.36
Visaull,2011_2013,Landsat,100,120,88.0,90.08,66.42,96.52,39.29
Invarient,2011_2013,Landsat,100,120,82.74,82.81,82.67,82.23,83.24
Visaull,2011_2013,Fourier,100,1,82.98,90.06,42.92,89.92,43.3
Invarient,2011_2013,Fourier,100,1,80.84,81.07,80.61,79.99,81.66
Visaull,2011_2013,Fourier,100,10,88.76,89.62,76.96,98.16,35.04
Invarient,2011_2013,Fourier,100,10,87.62,85.51,89.93,90.31,84.98
Visaull,2011_2013,Fourier,100,20,89.53,90.05,82.44,98.59,37.72
Invarient,2011_2013,Fourier,100,20,88.65,87.12,90.27,90.47,86.86
Visaull,2011_2013,Fourier,100,30,89.56,90.11,82.21,98.55,38.17
Invarient,2011_2013,Fourier,100,30,88.84,87.42,90.34,90.51,87.21
Visaull,2011_2013,Fourier,100,40,89.59,90.08,82.93,98.63,37.95
Invarient,2011_2013,Fourier,100,40,89.1,88.08,90.14,90.19,88.02
Visaull,2011_2013,Fourier,100,50,89.46,90.04,81.64,98.52,37.72
Invarient,2011_2013,Fourier,100,50,89.27,88.39,90.17,90.19,88.37
Visaull,2011_2013,Fourier,100,60,89.56,90.14,81.9,98.52,38.39
Invarient,2011_2013,Fourier,100,60,89.12,88.18,90.08,90.11,88.14
Visaull,2011_2013,Fourier,100,70,89.49,90.04,82.04,98.55,37.72
Invarient,2011_2013,Fourier,100,70,89.25,88.38,90.14,90.15,88.37
Visaull,2011_2013,Fourier,100,80,89.56,90.14,81.9,98.52,38.39
Invarient,2011_2013,Fourier,100,80,89.15,88.21,90.12,90.15,88.17
Visaull,2011_2013,Fourier,100,90,89.36,89.97,81.07,98.48,37.28
Invarient,2011_2013,Fourier,100,90,89.29,88.36,90.24,90.27,88.33
Visaull,2011_2013,Fourier,100,100,89.43,90.06,80.95,98.44,37.95
Invarient,2011_2013,Fourier,100,100,89.25,88.18,90.36,90.43,88.1
Visaull,2011_2013,Fourier,100,110,89.56,90.14,81.9,98.52,38.39
Invarient,2011_2013,Fourier,100,110,89.27,88.24,90.33,90.39,88.17
Visaull,2011_2013,Fourier,100,120,89.49,90.07,81.73,98.52,37.95
Invarient,2011_2013,Fourier,100,120,89.27,88.15,90.43,90.51,88.06
Visaull,2011_2013,Landsat_Fourier,100,1,84.47,91.02,47.92,90.7,48.88
Invarient,2011_2013,Landsat_Fourier,100,1,82.76,82.54,82.98,82.7,82.82
Visaull,2011_2013,Landsat_Fourier,100,10,90.29,91.03,81.97,98.28,44.64
Invarient,2011_2013,Landsat_Fourier,100,10,89.82,87.63,92.22,92.51,87.17
Visaull,2011_2013,Landsat_Fourier,100,20,90.53,91.26,82.47,98.28,46.21
Invarient,2011_2013,Landsat_Fourier,100,20,90.52,89.26,91.83,91.92,89.14
Visaull,2011_2013,Landsat_Fourier,100,30,90.99,91.51,85.26,98.55,47.77
Invarient,2011_2013,Landsat_Fourier,100,30,90.86,89.57,92.22,92.31,89.45
Visaull,2011_2013,Landsat_Fourier,100,40,90.92,91.48,84.86,98.52,47.54
Invarient,2011_2013,Landsat_Fourier,100,40,90.83,89.8,91.88,91.92,89.75
Visaull,2011_2013,Landsat_Fourier,100,50,90.76,91.49,82.95,98.28,47.77
Invarient,2011_2013,Landsat_Fourier,100,50,91.16,90.11,92.23,92.27,90.06
Visaull,2011_2013,Landsat_Fourier,100,60,90.92,91.57,84.05,98.4,48.21
Invarient,2011_2013,Landsat_Fourier,100,60,91.18,90.09,92.3,92.35,90.02
Visaull,2011_2013,Landsat_Fourier,100,70,90.92,91.6,83.78,98.36,48.44
Invarient,2011_2013,Landsat_Fourier,100,70,91.04,90.06,92.04,92.08,90.02
Visaull,2011_2013,Landsat_Fourier,100,80,90.96,91.54,84.65,98.48,47.99
Invarient,2011_2013,Landsat_Fourier,100,80,91.04,90.09,92.01,92.04,90.06
Visaull,2011_2013,Landsat_Fourier,100,90,91.02,91.64,84.5,98.44,48.66
Invarient,2011_2013,Landsat_Fourier,100,90,91.08,90.07,92.12,92.15,90.02
Visaull,2011_2013,Landsat_Fourier,100,100,91.02,91.64,84.5,98.44,48.66
Invarient,2011_2013,Landsat_Fourier,100,100,90.86,89.84,91.92,91.96,89.79
Visaull,2011_2013,Landsat_Fourier,100,110,90.96,91.66,83.59,98.32,48.88
Invarient,2011_2013,Landsat_Fourier,100,110,90.96,90.05,91.9,91.92,90.02
Visaull,2011_2013,Landsat_Fourier,100,120,90.92,91.66,83.27,98.28,48.88
Invarient,2011_2013,Landsat_Fourier,100,120,90.94,89.98,91.93,91.96,89.95
Visaull,2011_2013,Landsat_Mean,100,1,84.31,90.5,47.21,91.13,45.31
Invarient,2011_2013,Landsat_Mean,100,1,77.57,77.36,77.77,77.36,77.77
Visaull,2011_2013,Landsat_Mean,100,10,89.56,90.6,77.69,97.89,41.96
Invarient,2011_2013,Landsat_Mean,100,10,84.53,82.31,87.01,87.6,81.51
Visaull,2011_2013,Landsat_Mean,100,20,89.66,90.73,77.73,97.85,42.86
Invarient,2011_2013,Landsat_Mean,100,20,85.66,84.5,86.87,87.01,84.32
Visaull,2011_2013,Landsat_Mean,100,30,89.56,90.6,77.69,97.89,41.96
Invarient,2011_2013,Landsat_Mean,100,30,85.97,85.15,86.8,86.82,85.13
Visaull,2011_2013,Landsat_Mean,100,40,89.59,90.72,77.11,97.77,42.86
Invarient,2011_2013,Landsat_Mean,100,40,86.36,85.67,87.05,87.01,85.71
Visaull,2011_2013,Landsat_Mean,100,50,89.76,90.83,78.0,97.85,43.53
Invarient,2011_2013,Landsat_Mean,100,50,86.45,85.7,87.22,87.21,85.71
Visaull,2011_2013,Landsat_Mean,100,60,89.89,90.93,78.57,97.89,44.2
Invarient,2011_2013,Landsat_Mean,100,60,86.53,85.89,87.18,87.13,85.94
Visaull,2011_2013,Landsat_Mean,100,70,90.06,91.03,79.45,97.97,44.87
Invarient,2011_2013,Landsat_Mean,100,70,86.49,85.87,87.11,87.05,85.94
Visaull,2011_2013,Landsat_Mean,100,80,90.13,91.04,80.08,98.05,44.87
Invarient,2011_2013,Landsat_Mean,100,80,86.57,86.01,87.13,87.05,86.09
Visaull,2011_2013,Landsat_Mean,100,90,90.06,90.97,79.92,98.05,44.42
Invarient,2011_2013,Landsat_Mean,100,90,86.76,86.29,87.24,87.13,86.4
Visaull,2011_2013,Landsat_Mean,100,100,90.06,91.0,79.68,98.01,44.64
Invarient,2011_2013,Landsat_Mean,100,100,86.76,86.46,87.07,86.9,86.63
Visaull,2011_2013,Landsat_Mean,100,110,89.93,90.9,79.12,97.97,43.97
Invarient,2011_2013,Landsat_Mean,100,110,86.96,86.51,87.41,87.29,86.63
Visaull,2011_2013,Landsat_Mean,100,120,89.86,90.9,78.49,97.89,43.97
Invarient,2011_2013,Landsat_Mean,100,120,86.86,86.48,87.24,87.09,86.63
Visaull,2011_2013,Fourier_Mean,100,1,83.11,90.55,43.72,89.49,46.65
Invarient,2011_2013,Fourier_Mean,100,1,81.19,80.75,81.62,81.44,80.93
Visaull,2011_2013,Fourier_Mean,100,10,89.56,90.25,80.73,98.36,39.29
Invarient,2011_2013,Fourier_Mean,100,10,88.44,86.21,90.89,91.25,85.67
Visaull,2011_2013,Fourier_Mean,100,20,90.36,90.89,84.05,98.55,43.53
Invarient,2011_2013,Fourier_Mean,100,20,89.58,88.0,91.27,91.45,87.75
Visaull,2011_2013,Fourier_Mean,100,30,90.26,90.82,83.55,98.52,43.08
Invarient,2011_2013,Fourier_Mean,100,30,89.87,88.41,91.42,91.57,88.21
