index,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,year
20,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 29, 30, 34, 35, 36, 37, 39, 41, 42)",[0.94491738 0.9504008  0.94038076 0.94789579],0.9458986826933786,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_cos_2', 'NDVI_cos_3', 'NDVI_t', 'SLOPE', 'lrad', 'prec', 'shum', 'temp', 'wind')",0.0059799978138626005,0.00373054739075165,0.002153832540275121,1993_1995
1,"(0,)",[0.72308463 0.72344689 0.72795591 0.73496994],0.7273643431078483,"('B1',)",0.007681669648226107,0.004792114237295352,0.0027667284448899096,1996_1998
2,"(0, 32)",[0.77065598 0.78907816 0.78256513 0.7750501 ],0.7793373426873776,"('B1', 'NDVI_sin_2')",0.011307794899159172,0.007054227454468818,0.00407276011976242,1996_1998
3,"(0, 7, 32)",[0.83625438 0.84619238 0.84468938 0.8246493 ],0.8379463609241518,"('B1', 'DEM', 'NDVI_sin_2')",0.01372258424886445,0.008560663809156903,0.004942501554658625,1996_1998
4,"(0, 7, 11, 32)",[0.87981973 0.87825651 0.88927856 0.89078156],0.8845340907152311,"('B1', 'DEM', 'EVI_cos_3', 'NDVI_sin_2')",0.00889524856464859,0.005549190376961501,0.0032038265579232036,1996_1998
5,"(0, 6, 7, 11, 32)",[0.89684527 0.90280561 0.90931864 0.91332665],0.905574042426365,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'NDVI_sin_2')",0.010073965528276248,0.0062845183202096255,0.003628368343900162,1996_1998
6,"(0, 6, 7, 11, 32, 36)",[0.91987982 0.9253507  0.91633267 0.92134269],0.9207264679584508,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'NDVI_sin_2', 'lrad')",0.005180976856371222,0.0032320880867673894,0.001866046926939735,1996_1998
7,"(0, 6, 7, 11, 17, 32, 36)",[0.92739109 0.93136273 0.91733467 0.93386774],0.9274890542226164,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_NDBI', 'NDVI_sin_2', 'lrad')",0.010100500763968668,0.006301071997544734,0.0036379256139656654,1996_1998
8,"(0, 6, 7, 11, 17, 22, 32, 36)",[0.92889334 0.93486974 0.92635271 0.93336673],0.930870629591682,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_NDBI', 'NDBI_cos_3', 'NDVI_sin_2', 'lrad')",0.005468065572019064,0.003411184817637685,0.001969448472718682,1996_1998
9,"(0, 6, 7, 11, 17, 22, 25, 32, 36)",[0.93189785 0.93587174 0.93136273 0.93687375],0.9340015158007553,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_3', 'NDVI_sin_2', 'lrad')",0.003855170462904166,0.002405000228921557,0.0013885275295689727,1996_1998
10,"(0, 6, 7, 11, 16, 17, 22, 25, 32, 36)",[0.92939409 0.94238477 0.92985972 0.93987976],0.9353795849084248,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_3', 'NDVI_sin_2', 'lrad')",0.009333813335041036,0.0058227835639139145,0.003361785658058627,1996_1998
