Tree,CrossFolds,Accuracy,Year,In_Bands
82,split3_test_score,0.8450704225352113,1990_1992,Spectrum
83,split0_test_score,0.839142091152815,1990_1992,Spectrum
83,split1_test_score,0.8490945674044266,1990_1992,Spectrum
83,split2_test_score,0.8289738430583501,1990_1992,Spectrum
83,split3_test_score,0.8417169684775319,1990_1992,Spectrum
84,split0_test_score,0.8398123324396782,1990_1992,Spectrum
84,split1_test_score,0.8477531857813548,1990_1992,Spectrum
84,split2_test_score,0.8283031522468142,1990_1992,Spectrum
84,split3_test_score,0.8490945674044266,1990_1992,Spectrum
85,split0_test_score,0.8351206434316354,1990_1992,Spectrum
85,split1_test_score,0.8484238765928906,1990_1992,Spectrum
85,split2_test_score,0.8329979879275654,1990_1992,Spectrum
85,split3_test_score,0.8443997317236754,1990_1992,Spectrum
86,split0_test_score,0.8384718498659517,1990_1992,Spectrum
86,split1_test_score,0.8490945674044266,1990_1992,Spectrum
86,split2_test_score,0.8269617706237424,1990_1992,Spectrum
86,split3_test_score,0.852448021462106,1990_1992,Spectrum
87,split0_test_score,0.8418230563002681,1990_1992,Spectrum
87,split1_test_score,0.8450704225352113,1990_1992,Spectrum
87,split2_test_score,0.8289738430583501,1990_1992,Spectrum
87,split3_test_score,0.8470824949698189,1990_1992,Spectrum
88,split0_test_score,0.8331099195710456,1990_1992,Spectrum
88,split1_test_score,0.846411804158283,1990_1992,Spectrum
88,split2_test_score,0.8262910798122066,1990_1992,Spectrum
88,split3_test_score,0.8484238765928906,1990_1992,Spectrum
89,split0_test_score,0.8371313672922251,1990_1992,Spectrum
89,split1_test_score,0.8470824949698189,1990_1992,Spectrum
89,split2_test_score,0.823608316566063,1990_1992,Spectrum
89,split3_test_score,0.8457411133467472,1990_1992,Spectrum
90,split0_test_score,0.8364611260053619,1990_1992,Spectrum
90,split1_test_score,0.8450704225352113,1990_1992,Spectrum
90,split2_test_score,0.8289738430583501,1990_1992,Spectrum
90,split3_test_score,0.85177733065057,1990_1992,Spectrum
91,split0_test_score,0.8344504021447721,1990_1992,Spectrum
91,split1_test_score,0.8443997317236754,1990_1992,Spectrum
91,split2_test_score,0.8289738430583501,1990_1992,Spectrum
91,split3_test_score,0.8423876592890678,1990_1992,Spectrum
92,split0_test_score,0.8364611260053619,1990_1992,Spectrum
92,split1_test_score,0.8450704225352113,1990_1992,Spectrum
92,split2_test_score,0.8289738430583501,1990_1992,Spectrum
92,split3_test_score,0.8457411133467472,1990_1992,Spectrum
93,split0_test_score,0.839142091152815,1990_1992,Spectrum
93,split1_test_score,0.8437290409121395,1990_1992,Spectrum
93,split2_test_score,0.8262910798122066,1990_1992,Spectrum
93,split3_test_score,0.8497652582159625,1990_1992,Spectrum
94,split0_test_score,0.8344504021447721,1990_1992,Spectrum
94,split1_test_score,0.8484238765928906,1990_1992,Spectrum
94,split2_test_score,0.8323272971160295,1990_1992,Spectrum
94,split3_test_score,0.8437290409121395,1990_1992,Spectrum
95,split0_test_score,0.8418230563002681,1990_1992,Spectrum
95,split1_test_score,0.8437290409121395,1990_1992,Spectrum
95,split2_test_score,0.8323272971160295,1990_1992,Spectrum
95,split3_test_score,0.8490945674044266,1990_1992,Spectrum
96,split0_test_score,0.8378016085790885,1990_1992,Spectrum
96,split1_test_score,0.8443997317236754,1990_1992,Spectrum
96,split2_test_score,0.8323272971160295,1990_1992,Spectrum
96,split3_test_score,0.852448021462106,1990_1992,Spectrum
97,split0_test_score,0.8418230563002681,1990_1992,Spectrum
97,split1_test_score,0.846411804158283,1990_1992,Spectrum
97,split2_test_score,0.8316566063044937,1990_1992,Spectrum
97,split3_test_score,0.8470824949698189,1990_1992,Spectrum
98,split0_test_score,0.839142091152815,1990_1992,Spectrum
98,split1_test_score,0.846411804158283,1990_1992,Spectrum
98,split2_test_score,0.8329979879275654,1990_1992,Spectrum
98,split3_test_score,0.846411804158283,1990_1992,Spectrum
99,split0_test_score,0.8411528150134048,1990_1992,Spectrum
99,split1_test_score,0.8470824949698189,1990_1992,Spectrum
99,split2_test_score,0.8283031522468142,1990_1992,Spectrum
99,split3_test_score,0.8450704225352113,1990_1992,Spectrum
100,split0_test_score,0.8398123324396782,1990_1992,Spectrum
100,split1_test_score,0.8457411133467472,1990_1992,Spectrum
100,split2_test_score,0.8343393695506371,1990_1992,Spectrum
100,split3_test_score,0.8490945674044266,1990_1992,Spectrum
101,split0_test_score,0.8418230563002681,1990_1992,Spectrum
101,split1_test_score,0.8484238765928906,1990_1992,Spectrum
101,split2_test_score,0.8309859154929577,1990_1992,Spectrum
101,split3_test_score,0.8450704225352113,1990_1992,Spectrum
102,split0_test_score,0.8384718498659517,1990_1992,Spectrum
102,split1_test_score,0.8504359490274983,1990_1992,Spectrum
102,split2_test_score,0.8343393695506371,1990_1992,Spectrum
102,split3_test_score,0.8511066398390342,1990_1992,Spectrum
103,split0_test_score,0.8378016085790885,1990_1992,Spectrum
103,split1_test_score,0.8443997317236754,1990_1992,Spectrum
103,split2_test_score,0.8262910798122066,1990_1992,Spectrum
103,split3_test_score,0.8484238765928906,1990_1992,Spectrum
104,split0_test_score,0.8351206434316354,1990_1992,Spectrum
104,split1_test_score,0.8497652582159625,1990_1992,Spectrum
104,split2_test_score,0.8316566063044937,1990_1992,Spectrum
104,split3_test_score,0.8450704225352113,1990_1992,Spectrum
105,split0_test_score,0.839142091152815,1990_1992,Spectrum
105,split1_test_score,0.852448021462106,1990_1992,Spectrum
105,split2_test_score,0.824279007377599,1990_1992,Spectrum
105,split3_test_score,0.8477531857813548,1990_1992,Spectrum
106,split0_test_score,0.8357908847184986,1990_1992,Spectrum
106,split1_test_score,0.8504359490274983,1990_1992,Spectrum
106,split2_test_score,0.8289738430583501,1990_1992,Spectrum
106,split3_test_score,0.8490945674044266,1990_1992,Spectrum
107,split0_test_score,0.8404825737265416,1990_1992,Spectrum
107,split1_test_score,0.8470824949698189,1990_1992,Spectrum
107,split2_test_score,0.829644533869886,1990_1992,Spectrum
107,split3_test_score,0.8423876592890678,1990_1992,Spectrum
108,split0_test_score,0.8378016085790885,1990_1992,Spectrum
108,split1_test_score,0.8484238765928906,1990_1992,Spectrum
108,split2_test_score,0.8323272971160295,1990_1992,Spectrum
108,split3_test_score,0.8511066398390342,1990_1992,Spectrum
109,split0_test_score,0.8371313672922251,1990_1992,Spectrum
109,split1_test_score,0.846411804158283,1990_1992,Spectrum
109,split2_test_score,0.8336686787391012,1990_1992,Spectrum
109,split3_test_score,0.8457411133467472,1990_1992,Spectrum
110,split0_test_score,0.8411528150134048,1990_1992,Spectrum
110,split1_test_score,0.8430583501006036,1990_1992,Spectrum
110,split2_test_score,0.8256203890006707,1990_1992,Spectrum
110,split3_test_score,0.8477531857813548,1990_1992,Spectrum
111,split0_test_score,0.839142091152815,1990_1992,Spectrum
111,split1_test_score,0.8450704225352113,1990_1992,Spectrum
111,split2_test_score,0.829644533869886,1990_1992,Spectrum
111,split3_test_score,0.8544600938967136,1990_1992,Spectrum
112,split0_test_score,0.839142091152815,1990_1992,Spectrum
112,split1_test_score,0.8437290409121395,1990_1992,Spectrum
112,split2_test_score,0.829644533869886,1990_1992,Spectrum
112,split3_test_score,0.8450704225352113,1990_1992,Spectrum
113,split0_test_score,0.8364611260053619,1990_1992,Spectrum
113,split1_test_score,0.8423876592890678,1990_1992,Spectrum
113,split2_test_score,0.829644533869886,1990_1992,Spectrum
113,split3_test_score,0.8490945674044266,1990_1992,Spectrum
114,split0_test_score,0.8357908847184986,1990_1992,Spectrum
114,split1_test_score,0.846411804158283,1990_1992,Spectrum
114,split2_test_score,0.8283031522468142,1990_1992,Spectrum
114,split3_test_score,0.8537894030851777,1990_1992,Spectrum
115,split0_test_score,0.8384718498659517,1990_1992,Spectrum
115,split1_test_score,0.8477531857813548,1990_1992,Spectrum
115,split2_test_score,0.8303152246814218,1990_1992,Spectrum
115,split3_test_score,0.8443997317236754,1990_1992,Spectrum
116,split0_test_score,0.8378016085790885,1990_1992,Spectrum
116,split1_test_score,0.8443997317236754,1990_1992,Spectrum
116,split2_test_score,0.8336686787391012,1990_1992,Spectrum
116,split3_test_score,0.8484238765928906,1990_1992,Spectrum
